underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2019-05-14,SPXW,2019-05-15,2620.000,P,0.05,0.08,0.05,0.05,36,0,0.00,377,0.05,2838.63,2839.31,0,0.00,270,0.05,2799.12,2865.45,0.08,309,0
^SPX,2019-05-14,SPXW,2019-05-15,2625.000,C,0.00,0.00,0.00,0.00,0,25,212.80,17,214.80,2838.63,2839.31,36,207.10,15,214.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2625.000,P,0.05,0.07,0.05,0.05,33,0,0.00,1280,0.05,2838.63,2839.31,0,0.00,1262,0.05,2799.12,2865.45,0.05,1842,0
^SPX,2019-05-14,SPXW,2019-05-15,2630.000,C,0.00,0.00,0.00,0.00,0,25,207.80,17,209.80,2838.63,2839.31,36,202.10,15,209.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2630.000,P,0.05,0.10,0.05,0.05,13,0,0.00,388,0.05,2838.63,2839.31,0,0.00,26,0.05,2799.12,2865.45,0.07,253,0
^SPX,2019-05-14,SPXW,2019-05-15,2635.000,C,0.00,0.00,0.00,0.00,0,10,202.80,10,204.80,2838.63,2839.31,36,197.10,36,207.30,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2635.000,P,0.10,0.10,0.05,0.05,207,0,0.00,387,0.05,2838.63,2839.31,0,0.00,18,0.05,2799.12,2865.45,0.10,220,0
^SPX,2019-05-14,SPXW,2019-05-15,2640.000,C,0.00,0.00,0.00,0.00,0,25,197.80,17,199.80,2838.63,2839.31,36,192.10,15,199.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2640.000,P,0.10,0.10,0.05,0.05,409,0,0.00,388,0.05,2838.63,2839.31,0,0.00,26,0.05,2799.12,2865.45,0.10,774,0
^SPX,2019-05-14,SPXW,2019-05-15,2645.000,C,0.00,0.00,0.00,0.00,0,10,192.80,10,194.80,2838.63,2839.31,36,187.10,15,196.60,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2645.000,P,0.10,0.10,0.05,0.05,54,0,0.00,379,0.05,2838.63,2839.31,0,0.00,15,0.05,2799.12,2865.45,0.06,219,0
^SPX,2019-05-14,SPXW,2019-05-15,2650.000,C,0.00,0.00,0.00,0.00,0,25,187.60,17,189.80,2838.63,2839.31,36,182.10,15,189.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2650.000,P,0.10,0.15,0.05,0.05,1015,0,0.00,100,0.05,2838.63,2839.31,0,0.00,100,0.05,2799.12,2865.45,0.08,1855,0
^SPX,2019-05-14,SPXW,2019-05-15,2655.000,C,0.00,0.00,0.00,0.00,0,25,182.80,17,184.80,2838.63,2839.31,36,175.40,15,184.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2655.000,P,0.05,0.05,0.05,0.05,3,0,0.00,1589,0.10,2838.63,2839.31,0,0.00,1499,0.10,2799.12,2865.45,0.05,106,0
^SPX,2019-05-14,SPXW,2019-05-15,2660.000,C,0.00,0.00,0.00,0.00,0,25,177.80,17,179.80,2838.63,2839.31,36,172.10,15,179.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2660.000,P,0.08,0.08,0.04,0.05,1610,0,0.00,250,0.05,2838.63,2839.31,0,0.00,1487,0.10,2799.12,2865.45,0.04,1793,0
^SPX,2019-05-14,SPXW,2019-05-15,2665.000,C,0.00,0.00,0.00,0.00,0,25,172.80,23,175.10,2838.63,2839.31,36,167.10,15,174.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2665.000,P,0.15,0.15,0.05,0.05,53,0,0.00,1300,0.10,2838.63,2839.31,0,0.00,36,0.05,2799.12,2865.45,0.07,478,0
^SPX,2019-05-14,SPXW,2019-05-15,2670.000,C,0.00,0.00,0.00,0.00,0,25,167.80,17,169.80,2838.63,2839.31,36,162.10,15,169.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2670.000,P,0.15,0.15,0.03,0.05,195,0,0.00,1199,0.10,2838.63,2839.31,0,0.00,1415,0.10,2799.12,2865.45,0.08,3075,0
^SPX,2019-05-14,SPXW,2019-05-15,2675.000,C,0.00,0.00,0.00,0.00,0,25,162.60,17,164.80,2838.63,2839.31,36,157.10,15,164.50,2799.12,2865.45,0.00,0,0
^SPX,2019-05-14,SPXW,2019-05-15,2675.000,P,0.20,0.20,0.05,0.05,2751,0,0.00,1133,0.10,2838.63,2839.31,0,0.00,1,0.05,2799.12,2865.45,0.12,2670,0
^SPX,2019-05-14,SPXW,2019-05-15,2680.000,C,0.00,0.00,0.00,0.00,0,25,157.80,17,159.80,2838.63,2839.31,39,150.30,15,159.50,2799.12,2865.45,0.00,1,0
^SPX,2019-05-14,SPXW,2019-05-15,2680.000,P,0.15,0.15,0.03,0.03,475,1,0.05,977,0.10,2838.63,2839.31,0,0.00,4,0.05,2799.12,2865.45,0.12,1935,0
^SPX,2019-05-14,SPXW,2019-05-15,2685.000,C,150.35,150.35,150.35,150.35,2,25,152.80,17,154.80,2838.63,2839.31,39,145.30,15,154.50,2799.12,2865.45,150.35,2,0
^SPX,2019-05-14,SPXW,2019-05-15,2685.000,P,0.15,0.15,0.03,0.05,207,1,0.05,876,0.10,2838.63,2839.31,0,0.00,1193,0.10,2799.12,2865.45,0.11,266,0
